Date,cases_daily,cases_3days,cases_weekly,cases_total,prevalence,incidence_daily,incidence_3days,incidence_weekly,deaths_daily,deaths_3days,deaths_weekly,deaths_total,mortality
2019-12-31,27,0.0,0.0,27,6.114138160527839e-09,6.114138160527839e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-01-01,0,0.0,0.0,27,6.114138160527839e-09,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2020-01-02,0,0.0,0.0,27,6.114138160527839e-09,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2020-01-03,17,0.0,0.0,44,9.963780706045367e-09,3.849642545517528e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-01-04,0,0.0,0.0,44,9.963780706045367e-09,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2020-01-05,15,0.0,0.0,59,1.3360524128560833e-08,3.396743422515466e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-01-06,0,5.0,0.0,59,1.3360524128560833e-08,0.0,1.1322478075051553e-09,0.0,0,0.0,0.0,0,0.0
2020-01-07,0,0.0,0.0,59,1.3360524128560833e-08,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2020-01-08,0,0.0,0.0,59,1.3360524128560833e-08,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2020-01-09,0,0.0,0.0,59,1.3360524128560833e-08,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2020-01-10,0,0.0,0.0,59,1.3360524128560833e-08,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2020-01-11,0,0.0,0.0,59,1.3360524128560833e-08,0.0,0.0,0.0,1,0.0,0.0,1,0.01694915254237288
2020-01-12,0,0.0,0.0,59,1.3360524128560833e-08,0.0,0.0,0.0,0,0.3333333333333333,0.14285714285714285,1,0.01694915254237288
2020-01-13,1,0.0,0.0,60,1.3586973690061864e-08,2.2644956150103105e-10,0.0,0.0,0,0.0,0.0,1,0.016666666666666666
2020-01-14,0,0.0,0.0,60,1.3586973690061864e-08,0.0,0.0,0.0,0,0.0,0.0,1,0.016666666666666666
2020-01-15,1,0.6666666666666666,0.0,61,1.3813423251562894e-08,2.2644956150103105e-10,1.509663743340207e-10,0.0,1,0.3333333333333333,0.0,2,0.03278688524590164
2020-01-16,0,0.0,0.0,61,1.3813423251562894e-08,0.0,0.0,0.0,0,0.0,0.0,2,0.03278688524590164
2020-01-17,5,0.0,0.0,66,1.494567105906805e-08,1.1322478075051553e-09,0.0,0.0,0,0.0,0.0,2,0.030303030303030304
2020-01-18,17,7.333333333333333,0.0,83,1.879531360458558e-08,3.849642545517528e-09,1.6606301176742276e-09,0.0,0,0.0,0.0,2,0.024096385542168676
2020-01-19,136,0.0,22.857142857142854,219,4.95924539687258e-08,3.0797140364140224e-08,0.0,3.048276862921007e-09,1,0.0,0.2857142857142857,3,0.0136986301369863
2020-01-20,20,0.0,0.0,239,5.4121445198746426e-08,4.528991230020621e-09,0.0,0.0,0,0.0,0.0,3,0.012552301255230125
2020-01-21,152,102.66666666666666,0.0,391,8.854177854690314e-08,3.4420333348156723e-08,2.3248821647439187e-08,0.0,3,1.3333333333333333,0.0,6,0.015345268542199489
2020-01-22,142,0.0,0.0,533,1.2069761628004955e-07,3.2155837733146414e-08,0.0,0.0,11,0.0,0.0,17,0.03189493433395872
2020-01-23,97,0.0,0.0,630,1.4266322374564956e-07,2.1965607465600012e-08,0.0,0.0,0,0.0,0.0,17,0.026984126984126985
2020-01-24,266,168.33333333333334,0.0,896,2.0289880710492383e-07,6.023558335927426e-08,3.811900951934023e-08,0.0,9,6.666666666666667,0.0,26,0.029017857142857144
2020-01-25,448,0.0,0.0,1344,3.043482106573857e-07,1.0144940355246192e-07,0.0,0.0,15,0.0,0.0,41,0.03050595238095238
2020-01-26,669,0.0,256.2857142857143,2013,4.5584296730157555e-07,1.514947566441898e-07,0.0,3.417880432550179e-08,15,0.0,7.571428571428571,56,0.027819175360158967
2020-01-27,794,637.0,0.0,2807,6.356439191333942e-07,1.7980095183181866e-07,1.4424837067615678e-07,0.0,25,18.333333333333332,0.0,81,0.028856430352689703
2020-01-28,1765,0.0,0.0,4572,1.035327395182714e-06,3.996834760493198e-07,0.0,0.0,25,0.0,0.0,106,0.023184601924759404
2020-01-29,1475,0.0,0.0,6047,1.3693404983967349e-06,3.340131032140208e-07,0.0,0.0,26,0.0,0.0,132,0.021829006118736564
2020-01-30,1752,1664.0,0.0,7799,1.7660801301465412e-06,3.967396317498064e-07,3.768120703377157e-07,0.0,38,29.666666666666668,0.0,170,0.02179766636748301
2020-01-31,1994,0.0,0.0,9793,2.217620555779597e-06,4.5154042563305595e-07,0.0,0.0,43,0.0,0.0,213,0.021750229755948126
2020-02-01,2110,0.0,0.0,11903,2.6954291305467725e-06,4.778085747671755e-07,0.0,0.0,46,0.0,0.0,259,0.021759220364613963
2020-02-02,2604,2235.9999999999995,1784.857142857143,14507,3.2851037886954575e-06,5.896746581486849e-07,5.063412195163054e-07,2.3803231953334418e-07,46,45.0,35.57142857142858,305,0.021024333080581787
2020-02-03,2814,0.0,0.0,17321,3.922332854759359e-06,6.372290660639014e-07,0.0,0.0,57,0.0,0.0,362,0.02089948617285376
2020-02-04,3240,0.0,0.0,20561,4.6560294340226994e-06,7.336965792633407e-07,0.0,0.0,65,0.0,0.0,427,0.020767472399202375
2020-02-05,3905,3319.666666666667,0.0,24466,5.540314971684226e-06,8.842855376615263e-07,7.517370609962562e-07,0.0,66,62.666666666666664,0.0,493,0.02015041281778795
2020-02-06,3749,0.0,0.0,28215,6.3892743777515915e-06,8.489594060673654e-07,0.0,0.0,72,0.0,0.0,565,0.02002480949849371
2020-02-07,3213,0.0,0.0,31428,7.116856818854404e-06,7.275824411028128e-07,0.0,0.0,73,0.0,0.0,638,0.020300369097619956
2020-02-08,3436,3466.0,0.0,34864,7.894937512171947e-06,7.780806933175428e-07,7.848741801625737e-07,0.0,86,77.0,0.0,724,0.020766406608536025
2020-02-09,2618,0.0,3282.1428571428573,37482,8.487782464181646e-06,5.928449520096993e-07,0.0,4.3771350578506346e-07,89,0.0,72.57142857142857,813,0.021690411397470785
2020-02-10,2987,0.0,0.0,40469,9.164187304385225e-06,6.764048402035798e-07,0.0,0.0,97,0.0,0.0,910,0.0224863475746868
2020-02-11,2560,2721.666666666667,0.0,43029,9.743898181827866e-06,5.797108774426395e-07,6.163202232186397e-07,0.0,108,98.0,0.0,1018,0.023658462897115897
2020-02-12,2070,0.0,0.0,45099,1.0212648774135e-05,4.687505923071343e-07,0.0,0.0,97,0.0,0.0,1115,0.024723386327856492
2020-02-13,15149,0.0,0.0,60248,1.364313318131412e-05,3.4304844071791194e-06,0.0,0.0,255,0.0,0.0,1370,0.02273934404461559
2020-02-14,4213,7143.999999999999,0.0,64461,1.4597165183917964e-05,9.540320026038438e-07,1.6177556673633657e-06,0.0,13,121.66666666666666,0.0,1383,0.021454833154930887
2020-02-15,2558,0.0,0.0,67019,1.5176423162237601e-05,5.792579783196374e-07,0.0,0.0,143,0.0,0.0,1526,0.02276966233456184
2020-02-16,2162,0.0,4528.4285714285725,69181,1.566600711420283e-05,4.895839519652291e-07,0.0,6.039208017358315e-07,142,0.0,122.14285714285714,1668,0.024110666223385032
