Date,cases_daily,cases_3days,cases_weekly,cases_total,prevalence,incidence_daily,incidence_3days,incidence_weekly,deaths_daily,deaths_3days,deaths_weekly,deaths_total,mortality
2019-12-31,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-01,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-02,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-03,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-04,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-05,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-06,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-08,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-09,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-10,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-11,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-12,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-13,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-14,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-15,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-16,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-17,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-18,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-19,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-20,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-21,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-22,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-23,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-24,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-25,3,0.0,0.0,3,3.84750058481047e-09,3.84750058481047e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-01-26,0,0.0,0.42857142857142855,3,3.84750058481047e-09,0.0,0.0,5.715519117976889e-11,0,0.0,0.0,0,0.0
2020-01-27,0,1.0,0.0,3,3.84750058481047e-09,0.0,1.2825001949368235e-09,0.0,0,0.0,0.0,0,0.0
2020-01-28,1,0.0,0.0,4,5.130000779747294e-09,1.2825001949368235e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-01-29,4,0.0,0.0,8,1.0260001559494588e-08,5.130000779747294e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-01-30,2,2.333333333333333,0.0,10,1.2825001949368233e-08,2.565000389873647e-09,2.9925004548525875e-09,0.0,0,0.0,0.0,0,0.0
2020-01-31,7,0.0,0.0,17,2.1802503313925998e-08,8.977501364557763e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-01,6,0.0,0.0,23,2.9497504483546937e-08,7.69500116962094e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-02,1,4.666666666666667,2.9999999999999996,24,3.078000467848376e-08,1.2825001949368235e-09,5.985000909705176e-09,4.0008633825838217e-10,0,0.0,0.0,0,0.0
2020-02-03,1,0.0,0.0,25,3.2062504873420586e-08,1.2825001949368235e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-04,3,0.0,0.0,28,3.5910005458231054e-08,3.84750058481047e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-05,0,1.3333333333333333,0.0,28,3.5910005458231054e-08,0.0,1.7100002599157645e-09,0.0,0,0.0,0.0,0,0.0
2020-02-06,0,0.0,0.0,28,3.5910005458231054e-08,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-07,2,0.0,0.0,30,3.84750058481047e-08,2.565000389873647e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-08,6,2.666666666666667,0.0,36,4.617000701772564e-08,7.69500116962094e-09,3.4200005198315294e-09,0.0,0,0.0,0.0,0,0.0
2020-02-09,1,0.0,1.8571428571428572,37,4.7452507212662464e-08,1.2825001949368235e-09,0.0,2.476724951123319e-10,0,0.0,0.0,0,0.0
2020-02-10,1,0.0,0.0,38,4.873500740759929e-08,1.2825001949368235e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-11,4,2.0,0.0,42,5.3865008187346584e-08,5.130000779747294e-09,2.565000389873647e-09,0.0,0,0.0,0.0,0,0.0
2020-02-12,2,0.0,0.0,44,5.643000857722023e-08,2.565000389873647e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-13,1,0.0,0.0,45,5.771250877215705e-08,1.2825001949368235e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-14,0,1.0,0.0,45,5.771250877215705e-08,0.0,1.2825001949368235e-09,0.0,0,0.0,0.0,0,0.0
2020-02-15,0,0.0,0.0,45,5.771250877215705e-08,0.0,0.0,0.0,1,0.0,0.0,1,0.022222222222222223
2020-02-16,0,0.0,1.1428571428571428,45,5.771250877215705e-08,0.0,0.0,1.5241384314605037e-10,0,0.0,0.14285714285714285,1,0.022222222222222223
2020-02-17,1,0.3333333333333333,0.0,46,5.8995008967093875e-08,1.2825001949368235e-09,4.275000649789411e-10,0.0,0,0.3333333333333333,0.0,1,0.021739130434782608
2020-02-18,0,0.0,0.0,46,5.8995008967093875e-08,0.0,0.0,0.0,0,0.0,0.0,1,0.021739130434782608
2020-02-19,0,0.0,0.0,46,5.8995008967093875e-08,0.0,0.0,0.0,0,0.0,0.0,1,0.021739130434782608
2020-02-20,0,0.0,0.0,46,5.8995008967093875e-08,0.0,0.0,0.0,0,0.0,0.0,1,0.021739130434782608
2020-02-21,0,0.0,0.0,46,5.8995008967093875e-08,0.0,0.0,0.0,0,0.0,0.0,1,0.021739130434782608
2020-02-22,14,0.0,0.0,60,7.69500116962094e-08,1.7955002729115527e-08,0.0,0.0,0,0.0,0.0,1,0.016666666666666666
2020-02-23,62,25.333333333333332,11.0,122,1.5646502378229244e-07,7.951501208608304e-08,3.249000493839952e-08,1.466983240280735e-09,2,0.6666666666666666,0.2857142857142857,3,0.02459016393442623
2020-02-24,57,0.0,0.0,179,2.295675348936914e-07,7.310251111139893e-08,0.0,0.0,0,0.0,0.0,3,0.01675977653631285
2020-02-25,98,0.0,0.0,277,3.552525539975001e-07,1.256850191038087e-07,0.0,0.0,4,0.0,0.0,7,0.02527075812274368
2020-02-26,105,86.66666666666667,0.0,382,4.899150744658665e-07,1.3466252046836644e-07,1.111500168945247e-07,0.0,5,3.0,0.0,12,0.031413612565445025
2020-02-27,99,0.0,0.0,481,6.16882593764612e-07,1.269675192987455e-07,0.0,0.0,2,0.0,0.0,14,0.029106029106029108
2020-02-28,339,0.0,0.0,820,1.0516501598481953e-06,4.3476756608358313e-07,0.0,0.0,5,0.0,0.0,19,0.023170731707317073
2020-02-29,303,246.99999999999994,0.0,1123,1.4402477189140526e-06,3.8859755906585746e-07,3.167775481493953e-07,0.0,4,3.666666666666667,0.0,23,0.020480854853072127
2020-03-01,405,0.0,200.85714285714286,1528,1.959660297863466e-06,5.194125789494134e-07,0.0,2.6786732932918353e-08,8,0.0,4.0,31,0.020287958115183247
2020-03-02,681,0.0,0.0,2209,2.833042930615443e-06,8.733826327519768e-07,0.0,0.0,7,0.0,0.0,38,0.017202354006337708
2020-03-03,297,461.00000000000006,0.0,2506,3.2139454885116796e-06,3.8090255789623655e-07,5.912325898658756e-07,0.0,18,11.0,0.0,56,0.0223463687150838
2020-03-04,861,0.0,0.0,3367,4.318178156352284e-06,1.104232667840605e-06,0.0,0.0,29,0.0,0.0,85,0.025245025245025244
2020-03-05,922,0.0,0.0,4289,5.500643336084036e-06,1.1824651797317512e-06,0.0,0.0,28,0.0,0.0,113,0.026346467708090463
2020-03-06,1395,1059.3333333333335,0.0,5684,7.289731108020904e-06,1.7890877719368686e-06,1.358595206503075e-06,0.0,48,35.00000000000001,0.0,161,0.02832512315270936
2020-03-07,1856,0.0,0.0,7540,9.670051469823648e-06,2.380320361802744e-06,0.0,0.0,54,0.0,0.0,215,0.028514588859416445
2020-03-08,1954,0.0,1138.0,9494,1.2176056850730202e-05,2.506005380906553e-06,0.0,1.5176608431267967e-07,38,0.0,31.71428571428571,253,0.026648409521803244
2020-03-09,2503,2104.333333333333,0.0,11997,1.538615483865707e-05,3.2100979879268687e-06,2.698807910212055e-06,0.0,146,79.33333333333334,0.0,399,0.033258314578644664
2020-03-10,3373,0.0,0.0,15370,1.9712027996178977e-05,4.325873157521906e-06,0.0,0.0,137,0.0,0.0,536,0.03487312947299935
2020-03-11,2696,0.0,0.0,18066,2.316964852172865e-05,3.4576205255496756e-06,0.0,0.0,180,0.0,0.0,716,0.039632458762315956
2020-03-12,4868,3645.666666666667,0.0,22934,2.9412859470681107e-05,6.2432109489524565e-06,4.67556821067468e-06,0.0,235,184.0,0.0,951,0.04146681782506322
2020-03-13,6444,0.0,0.0,29378,3.7677290726854e-05,8.26443125617289e-06,0.0,0.0,250,0.0,0.0,1201,0.040880931309142894
2020-03-14,6820,0.0,0.0,36198,4.642394205632313e-05,8.746651329469135e-06,0.0,0.0,312,0.0,0.0,1513,0.04179788938615393
2020-03-15,5285,6183.0,4569.857142857143,41483,5.3201955586564245e-05,6.778013530241111e-06,7.929698705294378e-06,6.094458035498758e-07,231,264.3333333333333,213.0,1744,0.042041318130318445
2020-03-16,12903,0.0,0.0,54386,6.975005560183408e-05,1.654810001526983e-05,0.0,0.0,593,0.0,0.0,2337,0.04297061743831133
2020-03-17,9414,0.0,0.0,63800,8.182351243696933e-05,1.2073456835135255e-05,0.0,0.0,427,0.0,0.0,2764,0.043322884012539184
2020-03-18,10456,10924.333333333334,0.0,74256,9.523333447522875e-05,1.3409822038259425e-05,1.4010459629554838e-05,0.0,595,538.3333333333334,0.0,3359,0.04523540185304891
2020-03-19,12406,0.0,0.0,86662,0.00011114403189361499,1.591069741838623e-05,0.0,0.0,730,0.0,0.0,4089,0.04718330987053149
2020-03-20,20962,0.0,0.0,107624,0.0001380278009798807,2.688376908626569e-05,0.0,0.0,847,0.0,0.0,4936,0.04586337619861741
2020-03-21,19401,17589.666666666668,0.0,127025,0.00016290958726185,2.488178628196931e-05,2.2558750928873746e-05,0.0,1053,876.6666666666667,0.0,5989,0.04714819917339107
2020-03-22,22386,0.0,15418.285714285712,149411,0.0001916196366257057,2.8710049363855727e-05,0.0,2.0562151578833653e-06,1414,0.0,808.4285714285714,7403,0.049547891386845684
2020-03-23,19647,0.0,0.0,169058,0.0002168169179556295,2.519728132992377e-05,0.0,0.0,1309,0.0,0.0,8712,0.051532610110139716
2020-03-24,23526,21853.0,0.0,192584,0.0002469890175417132,3.017209958608371e-05,2.80264767599544e-05,0.0,1437,1386.6666666666667,0.0,10149,0.05269908195904125
2020-03-25,23528,0.0,0.0,216112,0.00027716368212818676,3.017466458647358e-05,0.0,0.0,1784,0.0,0.0,11933,0.05521673946842378
2020-03-26,28920,0.0,0.0,245032,0.0003142535877657597,3.7089905637572934e-05,0.0,0.0,1944,0.0,0.0,13877,0.05663341930849848
2020-03-27,34516,28988.000000000004,0.0,279548,0.0003585203644941991,4.42667767284394e-05,3.717711565082864e-05,0.0,2135,1954.3333333333337,0.0,16012,0.05727817762960207
2020-03-28,35108,0.0,0.0,314656,0.0004035463813380411,4.5026016843841994e-05,0.0,0.0,2619,0.0,0.0,18631,0.05921069358283332
2020-03-29,34472,0.0,28531.0,349128,0.0004477567280579033,4.421034671986218e-05,0.0,3.804954438949968e-06,2665,0.0,1984.714285714286,21296,0.06099768566256502
2020-03-30,29835,33138.33333333333,0.0,378963,0.0004860201213738434,3.826339331594012e-05,4.2499918959881424e-05,0.0,2515,2599.6666666666665,0.0,23811,0.06283199151368339
2020-03-31,28986,0.0,0.0,407949,0.0005231946720242822,3.717455065043876e-05,0.0,0.0,2699,0.0,0.0,26510,0.0649836131477219
2020-04-01,37307,0.0,0.0,445256,0.0005710409067967902,4.784623477250807e-05,0.0,0.0,3354,0.0,0.0,29864,0.06707152739098406
2020-04-02,36208,34167.0,0.0,481464,0.0006174776738550627,4.64367670582725e-05,4.381918416040644e-05,0.0,3453,3168.6666666666665,0.0,33317,0.06919935862286693
2020-04-03,29264,0.0,0.0,510728,0.0006550087595596939,3.75310857046312e-05,0.0,0.0,3276,0.0,0.0,36593,0.07164870537742203
2020-04-04,38027,0.0,0.0,548755,0.0007037783944725565,4.876963491286258e-05,0.0,0.0,5137,0.0,0.0,41730,0.07604486519485017
2020-04-05,40515,35935.33333333334,34306.00000000001,589270,0.0007557388898704219,5.19604953978654e-05,4.6087072005119736e-05,4.5751206400973545e-06,4149,4187.333333333333,3511.857142857142,45879,0.07785734892324402
