Date,cases_daily,cases_3days,cases_weekly,cases_total,prevalence,incidence_daily,incidence_3days,incidence_weekly,deaths_daily,deaths_3days,deaths_weekly,deaths_total,mortality
2019-12-31,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-01,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-02,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-03,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-04,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-05,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-06,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-08,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-09,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-10,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-11,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-12,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-13,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-14,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-15,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-16,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-17,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-18,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-19,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-20,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,
2020-01-21,1,0.3333333333333333,0.0,1,1.7372781307115244e-09,1.7372781307115244e-09,5.790927102371748e-10,0.0,0,0.0,0.0,0,0.0
2020-01-22,0,0.0,0.0,1,1.7372781307115244e-09,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2020-01-23,0,0.0,0.0,1,1.7372781307115244e-09,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2020-01-24,0,0.0,0.0,1,1.7372781307115244e-09,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2020-01-25,1,0.0,0.0,2,3.4745562614230488e-09,1.7372781307115244e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-01-26,1,0.0,0.42857142857142855,3,5.2118343921345736e-09,1.7372781307115244e-09,0.0,5.715519117976889e-11,0,0.0,0.0,0,0.0
2020-01-27,3,1.6666666666666665,0.0,6,1.0423668784269147e-08,5.2118343921345736e-09,2.895463551185874e-09,0.0,0,0.0,0.0,0,0.0
2020-01-28,1,0.0,0.0,7,1.2160946914980671e-08,1.7372781307115244e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-01-29,1,0.0,0.0,8,1.3898225045692195e-08,1.7372781307115244e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-01-30,0,0.6666666666666666,0.0,8,1.3898225045692195e-08,0.0,1.1581854204743496e-09,0.0,0,0.0,0.0,0,0.0
2020-01-31,1,0.0,0.0,9,1.563550317640372e-08,1.7372781307115244e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-01,2,0.0,0.0,11,1.911005943782677e-08,3.4745562614230488e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-02,1,1.3333333333333333,1.2857142857142856,12,2.0847337568538294e-08,1.7372781307115244e-09,2.316370840948699e-09,1.7146557353930666e-10,0,0.0,0.0,0,0.0
2020-02-03,3,0.0,0.0,15,2.6059171960672866e-08,5.2118343921345736e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-04,0,0.0,0.0,15,2.6059171960672866e-08,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-05,1,1.3333333333333333,0.0,16,2.779645009138439e-08,1.7372781307115244e-09,2.316370840948699e-09,0.0,0,0.0,0.0,0,0.0
2020-02-06,1,0.0,0.0,17,2.9533728222095914e-08,1.7372781307115244e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-07,2,0.0,0.0,19,3.300828448351896e-08,3.4745562614230488e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-08,0,1.0,0.0,19,3.300828448351896e-08,0.0,1.7372781307115244e-09,0.0,0,0.0,0.0,0,0.0
2020-02-09,0,0.0,1.0,19,3.300828448351896e-08,0.0,0.0,1.333621127527941e-10,0,0.0,0.0,0,0.0
2020-02-10,0,0.0,0.0,19,3.300828448351896e-08,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-11,1,0.3333333333333333,0.0,20,3.4745562614230486e-08,1.7372781307115244e-09,5.790927102371748e-10,0.0,0,0.0,0.0,0,0.0
2020-02-12,0,0.0,0.0,20,3.4745562614230486e-08,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-13,1,0.0,0.0,21,3.648284074494201e-08,1.7372781307115244e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-14,1,0.6666666666666666,0.0,22,3.822011887565354e-08,1.7372781307115244e-09,1.1581854204743496e-09,0.0,0,0.0,0.0,0,0.0
2020-02-15,1,0.0,0.0,23,3.9957397006365065e-08,1.7372781307115244e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-16,0,0.0,0.5714285714285714,23,3.9957397006365065e-08,0.0,0.0,7.620692157302518e-11,0,0.0,0.0,0,0.0
2020-02-17,0,0.3333333333333333,0.0,23,3.9957397006365065e-08,0.0,5.790927102371748e-10,0.0,0,0.0,0.0,0,0.0
2020-02-18,0,0.0,0.0,23,3.9957397006365065e-08,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-19,0,0.0,0.0,23,3.9957397006365065e-08,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-20,0,0.0,0.0,23,3.9957397006365065e-08,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-21,2,0.0,0.0,25,4.343195326778811e-08,3.4745562614230488e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-22,19,0.0,0.0,44,7.644023775130708e-08,3.300828448351896e-08,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-23,0,7.0,3.0,44,7.644023775130708e-08,0.0,1.2160946914980671e-08,4.000863382583822e-10,0,0.0,0.0,0,0.0
2020-02-24,0,0.0,0.0,44,7.644023775130708e-08,0.0,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-25,20,0.0,0.0,64,1.1118580036553756e-07,3.4745562614230486e-08,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-26,0,6.666666666666667,0.0,64,1.1118580036553756e-07,0.0,1.1581854204743498e-08,0.0,0,0.0,0.0,0,0.0
2020-02-27,7,0.0,0.0,71,1.2334674728051824e-07,1.2160946914980671e-08,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-28,3,0.0,0.0,74,1.2855858167265281e-07,5.2118343921345736e-09,0.0,0.0,0,0.0,0.0,0,0.0
2020-02-29,10,6.666666666666667,0.0,84,1.4593136297976804e-07,1.7372781307115243e-08,1.1581854204743498e-08,0.0,0,0.0,0.0,0,0.0
2020-03-01,9,0.0,6.999999999999999,93,1.6156686615617178e-07,1.563550317640372e-08,0.0,9.335347892695584e-10,1,0.0,0.14285714285714285,1,0.010752688172043012
2020-03-02,26,0.0,0.0,119,2.067360975546714e-07,4.5169231398499637e-08,0.0,0.0,1,0.0,0.0,2,0.01680672268907563
2020-03-03,18,17.666666666666664,0.0,137,2.3800710390747886e-07,3.127100635280744e-08,3.069191364257026e-08,0.0,4,2.0,0.0,6,0.043795620437956206
2020-03-04,25,0.0,0.0,162,2.81439057175267e-07,4.343195326778811e-08,0.0,0.0,3,0.0,0.0,9,0.05555555555555555
2020-03-05,37,0.0,0.0,199,3.457183480115934e-07,6.427929083632641e-08,0.0,0.0,2,0.0,0.0,11,0.05527638190954774
2020-03-06,86,49.333333333333336,0.0,285,4.951242672527845e-07,1.494059192411911e-07,8.570572111510187e-08,0.0,1,2.0,0.0,12,0.042105263157894736
2020-03-07,112,0.0,0.0,397,6.896994178924753e-07,1.9457515063969074e-07,0.0,0.0,2,0.0,0.0,14,0.03526448362720403
2020-03-08,101,0.0,57.85714285714286,498,8.651645090943391e-07,1.7546509120186397e-07,0.0,7.7159508092688e-09,3,0.0,2.2857142857142856,17,0.03413654618473896
2020-03-09,128,113.66666666666667,0.0,626,1.0875361098254143e-06,2.2237160073107512e-07,1.974706141908766e-07,0.0,4,3.0,0.0,21,0.03354632587859425
2020-03-10,219,0.0,0.0,845,1.4680000204512382e-06,3.8046391062582384e-07,0.0,0.0,6,0.0,0.0,27,0.03195266272189349
2020-03-11,293,0.0,0.0,1138,1.977022512749715e-06,5.090224922984767e-07,0.0,0.0,3,0.0,0.0,30,0.026362038664323375
2020-03-12,315,275.6666666666667,0.0,1453,2.524265123923845e-06,5.472426111741302e-07,4.789096713661436e-07,0.0,2,3.666666666666667,0.0,32,0.02202339986235375
2020-03-13,409,0.0,0.0,1862,3.2348118793848587e-06,7.105467554610135e-07,0.0,0.0,10,0.0,0.0,42,0.022556390977443608
2020-03-14,578,0.0,0.0,2440,4.238958638936119e-06,1.004146759551261e-06,0.0,0.0,7,0.0,0.0,49,0.020081967213114754
2020-03-15,871,619.3333333333334,401.8571428571429,3311,5.752127890785857e-06,1.5131692518497379e-06,1.075954255620671e-06,5.359251759622997e-08,10,9.0,6.000000000000001,59,0.017819389912413167
2020-03-16,901,0.0,0.0,4212,7.317415486556941e-06,1.5652875957710836e-06,0.0,0.0,13,0.0,0.0,72,0.017094017094017096
2020-03-17,1069,0.0,0.0,5281,9.17456580828756e-06,1.8571503217306196e-06,0.0,0.0,19,0.0,0.0,91,0.01723158492709714
2020-03-18,1947,1305.6666666666667,0.0,7228,1.2557046328782899e-05,3.382480520495338e-06,2.268306145999014e-06,0.0,27,19.666666666666668,0.0,118,0.01632540121748755
2020-03-19,3180,0.0,0.0,10408,1.8081590784445546e-05,5.524544455662648e-06,0.0,0.0,44,0.0,0.0,162,0.015564950038431976
2020-03-20,5094,0.0,0.0,15502,2.693128558229005e-05,8.849694797844505e-06,0.0,0.0,1,0.0,0.0,163,0.01051477228744678
2020-03-21,5636,4636.666666666666,0.0,21138,3.6722585126980205e-05,9.791299544690152e-06,8.0551795993991e-06,0.0,117,54.0,0.0,280,0.013246286309016937
2020-03-22,7572,0.0,3628.428571428571,28710,4.987725513272787e-05,1.3154670005747663e-05,0.0,4.838949002583166e-07,84,0.0,43.57142857142857,364,0.012678509230233368
2020-03-23,8904,0.0,0.0,37614,6.534597960858328e-05,1.5468724475855414e-05,0.0,0.0,136,0.0,0.0,500,0.01329292284787579
2020-03-24,11612,9362.66666666667,0.0,49226,8.55192532624055e-05,2.0173273653822223e-05,1.6265556045141772e-05,0.0,130,116.66666666666667,0.0,630,0.012798114817372933
2020-03-25,9333,0.0,0.0,58559,0.00010173327005633616,1.6214016793930657e-05,0.0,0.0,219,0.0,0.0,849,0.014498198398196691
2020-03-26,15733,0.0,0.0,74292,0.00012906586688682059,2.7332596830484413e-05,0.0,0.0,261,0.0,0.0,1110,0.0149410434501696
2020-03-27,17795,14287.000000000002,0.0,92087,0.00015998073122283215,3.091486433601158e-05,2.4820492653475553e-05,0.0,258,246.0,0.0,1368,0.014855517065383822
2020-03-28,19825,0.0,0.0,111912,0.00019442227016418812,3.444153894135597e-05,0.0,0.0,447,0.0,0.0,1815,0.016218099935663737
2020-03-29,21184,0.0,14912.285714285712,133096,0.00023122477008518107,3.680249992099293e-05,0.0,1.9887339288304514e-06,509,0.0,280.00000000000006,2324,0.017461080723688165
2020-03-30,19728,20245.666666666668,0.0,152824,0.000265497793047858,3.4273022962676955e-05,3.5172353941675286e-05,0.0,344,433.3333333333333,0.0,2668,0.017457990891483012
2020-03-31,23092,0.0,0.0,175916,0.0003056150196422485,4.0117226594390524e-05,0.0,0.0,708,0.0,0.0,3376,0.01919097751199436
2020-04-01,26676,0.0,0.0,202592,0.00035195865105710914,4.634363141486062e-05,0.0,0.0,938,0.0,0.0,4314,0.021294029379244985
2020-04-02,28824,26197.333333333332,0.0,231416,0.00040203395589673817,5.007530483962898e-05,4.551205428296004e-05,0.0,1100,915.3333333333334,0.0,5414,0.023395098005323745
2020-04-03,30836,0.0,0.0,262252,0.0004556046643353587,5.357070843862057e-05,0.0,0.0,955,0.0,0.0,6369,0.024285801442886994
2020-04-04,34476,0.0,0.0,296728,0.0005154990651697692,5.989440083441052e-05,0.0,0.0,1194,0.0,0.0,7563,0.02548798900002696
2020-04-05,36195,33835.666666666664,28546.714285714283,332923,0.0005783798471108728,6.288078194110363e-05,5.87819637380449e-05,3.8070501292932256e-06,1433,1194.0,953.142857142857,8996,0.027021263174968387
