Countries,Populations
Afghanistan,37172386.0
Angola,30809762.0
Albania,2866376.0
Andorra,77006.0
Argentina,44494502.0
Antigua_and_Barbuda,96286.0
Algeria,42228429.0
Armenia,2951776.0
Aruba,105845.0
Australia,24992369.0
Austria,8847037.0
Azerbaijan,9942334.0
Bahamas,385640.0
Bahrain,1569439.0
Bangladesh,161356039.0
Barbados,286641.0
Belarus,9485386.0
Belgium,11422068.0
Belize,383071.0
Benin,11485048.0
Bermuda,63968.0
Bhutan,754394.0
Bolivia,11353142.0
Bosnia_and_Herzegovina,3323929.0
Brazil,209469333.0
Brunei_Darussalam,428962.0
Bulgaria,7024216.0
Burkina_Faso,19751535.0
Cambodia,16249798.0
Cameroon,25216237.0
Canada,37058856.0
Cape_Verde,543767.0
Cases_on_an_international_conveyance_Japan,0.0
Cayman_Islands,64174.0
Central_African_Republic,4666377.0
Chad,15477751.0
Chile,18729160.0
China,1392730000.0
Colombia,49648685.0
Congo,5244363.0
Costa_Rica,4999441.0
Cote_dIvoire,25069229.0
Croatia,4089400.0
Cuba,11338138.0
Curaçao,159849.0
Cyprus,1189265.0
Czech_Republic,10625695.0
Democratic_Republic_of_the_Congo,84068091.0
Denmark,5797446.0
Djibouti,958920.0
Dominica,71625.0
Dominican_Republic,10627165.0
Ecuador,17084357.0
Egypt,98423595.0
El_Salvador,6420744.0
Equatorial_Guinea,1308974.0
Eritrea,0.0
Estonia,1320884.0
Eswatini,0.0
Ethiopia,109224559.0
Faroe_Islands,48497.0
Fiji,883483.0
Finland,5518050.0
France,66987244.0
French_Polynesia,277679.0
Gabon,2119275.0
Gambia,2280102.0
Georgia,3731000.0
Germany,82927922.0
Ghana,29767108.0
Gibraltar,33718.0
Greece,10727668.0
Greenland,56025.0
Grenada,111454.0
Guam,165768.0
Guatemala,17247807.0
Guernsey,0.0
Guinea,12414318.0
Guyana,779004.0
Haiti,11123176.0
Holy_See,0.0
Honduras,9587522.0
Hungary,9768785.0
Iceland,353574.0
India,1352617328.0
Indonesia,267663435.0
Iran,81800269.0
Iraq,38433600.0
Ireland,4853506.0
Isle_of_Man,84077.0
Israel,8883800.0
Italy,60431283.0
Jamaica,2934855.0
Japan,126529100.0
Jersey,0.0
Jordan,9956011.0
Kazakhstan,18276499.0
Kenya,51393010.0
Kosovo,1845300.0
Kuwait,4137309.0
Kyrgyzstan,6315800.0
Laos,0.0
Latvia,1926542.0
Lebanon,6848925.0
Liberia,4818977.0
Libya,6678567.0
Liechtenstein,37910.0
Lithuania,2789533.0
Luxembourg,607728.0
Madagascar,26262368.0
Malaysia,31528585.0
Maldives,515696.0
Mali,19077690.0
Malta,483530.0
Mauritania,4403319.0
Mauritius,1265303.0
Mexico,126190788.0
Moldova,3545883.0
Monaco,38682.0
Mongolia,3170208.0
Montenegro,622345.0
Montserrat,0.0
Morocco,36029138.0
Mozambique,29495962.0
Myanmar,53708395.0
Namibia,2448255.0
Nepal,28087871.0
Netherlands,17231017.0
New_Caledonia,284060.0
New_Zealand,4885500.0
Nicaragua,6465513.0
Niger,22442948.0
Nigeria,195874740.0
North_Macedonia,2082958.0
Norway,5314336.0
Oman,4829483.0
Pakistan,212215030.0
Palestine,4569087.0
Panama,4176873.0
Papua_New_Guinea,8606316.0
Paraguay,6956071.0
Peru,31989256.0
Philippines,106651922.0
Poland,37978548.0
Portugal,10281762.0
Qatar,2781677.0
Romania,19473936.0
Russia,144478050.0
Rwanda,12301939.0
Saint_Kitts_and_Nevis,52441.0
Saint_Lucia,181889.0
Saint_Vincent_and_the_Grenadines,110210.0
San_Marino,33785.0
Saudi_Arabia,33699947.0
Senegal,15854360.0
Serbia,6982084.0
Seychelles,96762.0
Singapore,5638676.0
Sint_Maarten,0.0
Slovakia,5447011.0
Slovenia,2067372.0
Somalia,15008154.0
South_Africa,57779622.0
South_Korea,51635256.0
Spain,46723749.0
Sri_Lanka,21670000.0
Sudan,41801533.0
Suriname,575991.0
Sweden,10183175.0
Switzerland,8516543.0
Syria,16906283.0
Taiwan,0.0
Thailand,69428524.0
Timor_Leste,1267972.0
Togo,7889094.0
Trinidad_and_Tobago,1389858.0
Tunisia,11565204.0
Turkey,82319724.0
Turks_and_Caicos_islands,0.0
Uganda,42723139.0
Ukraine,44622516.0
United_Arab_Emirates,9630959.0
United_Kingdom,66488991.0
United_Republic_of_Tanzania,56318348.0
United_States_of_America,327167434.0
United_States_Virgin_Islands,106977.0
Uruguay,3449299.0
Uzbekistan,32955400.0
Venezuela,28870195.0
Vietnam,95540395.0
Zambia,17351822.0
Zimbabwe,14439018.0
