country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,19.4,,,,,19.2,,,,,18.8,,,,,18.4,,,,,17.9,,,,,17.4,,,,,17,,,,,16.3,,,,,15.9,,,,,16,,,,,15.7,,,,,16.1,,,,,16,,,,,17.3,,,,,18.6,,,,,20.1,,,,,21.9,,,,,23.6,,,,,25.2,,,,,27,,,,,28.9,,,,,30.7,,,,,32.5,,,,,34.3,,,,,35.9,,,,,37.5,,,,,39,,,,,40.3,,,,,41.4,,,,,42.3,,,,,43.2
Albania,21.2,,,,,20.6,,,,,20.2,,,,,19.7,,,,,19.6,,,,,20.2,,,,,21.4,,,,,22.8,,,,,24.1,,,,,24.7,,,,,27.1,,,,,29.2,,,,,32.3,,,,,36.2,,,,,38,,,,,39.8,,,,,41.5,,,,,43.3,,,,,45.3,,,,,47.5,,,,,49.5,,,,,50.6,,,,,50.9,,,,,51.4,,,,,52.1,,,,,52.8,,,,,53.3,,,,,53.7,,,,,53.6,,,,,53.3,,,,,53.2
Algeria,19.4,,,,,18.6,,,,,17.9,,,,,16.6,,,,,16.4,,,,,16.5,,,,,16.7,,,,,17.1,,,,,18,,,,,19.4,,,,,21.7,,,,,24.1,,,,,26,,,,,27.5,,,,,29.1,,,,,30.6,,,,,31.8,,,,,32.7,,,,,33.7,,,,,35.1,,,,,37,,,,,38.8,,,,,40.4,,,,,41.7,,,,,42.7,,,,,43.3,,,,,43.8,,,,,44.4,,,,,45.3,,,,,46.3,,,,,47.2
Angola,19.8,,,,,18.8,,,,,17.9,,,,,16.8,,,,,16.7,,,,,16.6,,,,,16.2,,,,,16,,,,,15.8,,,,,16,,,,,16.2,,,,,16.3,,,,,16.3,,,,,16.4,,,,,16.8,,,,,17.4,,,,,18.1,,,,,18.8,,,,,19.5,,,,,20.2,,,,,21.1,,,,,22.1,,,,,23,,,,,24,,,,,25,,,,,26,,,,,27,,,,,28,,,,,29,,,,,30,,,,,31
Antigua and Barbuda,20.6,,,,,20,,,,,18.1,,,,,18.2,,,,,18.7,,,,,19.8,,,,,21.8,,,,,23.4,,,,,24.4,,,,,26.6,,,,,28.3,,,,,28.5,,,,,29.3,,,,,30.7,,,,,32.1,,,,,33.5,,,,,35.1,,,,,36.7,,,,,38.2,,,,,39.5,,,,,40.5,,,,,41.3,,,,,42.1,,,,,43,,,,,43.9,,,,,44.8,,,,,45.5,,,,,46.1,,,,,46.5,,,,,46.9,,,,,47.3
Argentina,25.7,,,,,26.3,,,,,26.9,,,,,27.2,,,,,27.4,,,,,27.4,,,,,27.3,,,,,27.3,,,,,27.2,,,,,27.4,,,,,27.9,,,,,28.7,,,,,29.9,,,,,30.8,,,,,31.9,,,,,33,,,,,34.1,,,,,35.1,,,,,36.2,,,,,37.4,,,,,38.5,,,,,39.7,,,,,40.8,,,,,41.8,,,,,42.8,,,,,43.6,,,,,44.4,,,,,45.1,,,,,45.8,,,,,46.4,,,,,46.9
Armenia,22.4,,,,,22.7,,,,,22.4,,,,,20.6,,,,,20.3,,,,,21.8,,,,,23.5,,,,,25.3,,,,,27.2,,,,,29.4,,,,,30.6,,,,,31.8,,,,,32.9,,,,,33.9,,,,,35.7,,,,,38,,,,,40.4,,,,,42.6,,,,,44.3,,,,,45,,,,,45.5,,,,,46.6,,,,,48,,,,,49.3,,,,,50.3,,,,,50.7,,,,,50.4,,,,,50,,,,,50,,,,,50.3,,,,,50.6
Australia,30.4,,,,,30.2,,,,,29.6,,,,,28.4,,,,,27.4,,,,,28.1,,,,,29.3,,,,,30.7,,,,,32.1,,,,,33.6,,,,,35.4,,,,,36.6,,,,,36.9,,,,,37.4,,,,,37.9,,,,,38.9,,,,,39.8,,,,,40.6,,,,,41,,,,,41.2,,,,,41.5,,,,,41.9,,,,,42.5,,,,,43.1,,,,,43.7,,,,,44.1,,,,,44.5,,,,,44.9,,,,,45.4,,,,,46.1,,,,,46.7
Austria,35.7,,,,,35.1,,,,,35.4,,,,,34.7,,,,,33.6,,,,,33.9,,,,,35,,,,,35.8,,,,,36.5,,,,,36.3,,,,,38.2,,,,,40,,,,,41.9,,,,,43.2,,,,,44.4,,,,,45.3,,,,,46.5,,,,,47.7,,,,,48.8,,,,,49.7,,,,,49.9,,,,,49.5,,,,,49.1,,,,,48.9,,,,,49,,,,,49.2,,,,,49.3,,,,,49.2,,,,,49.1,,,,,49.1,,,,,49.4
Azerbaijan,21.7,,,,,22.1,,,,,22,,,,,19.1,,,,,18.2,,,,,19.1,,,,,20.9,,,,,22.8,,,,,24.1,,,,,24.6,,,,,25.6,,,,,27.1,,,,,28.7,,,,,30.3,,,,,32.4,,,,,34.6,,,,,36.7,,,,,38.3,,,,,39.2,,,,,39.5,,,,,40,,,,,41.4,,,,,42.7,,,,,43.6,,,,,44,,,,,44.1,,,,,44.3,,,,,44.8,,,,,45.3,,,,,45.8,,,,,46.1
