country,2004,2005,2006,2007
Argentina,69,70,71,72
Australia,69.6,69.3,62.1,64.1
Austria,69.3,73.8,71.3,72.3
Belgium,78,79,66.5,67.5
Brazil,70.5,67.7,58,59.4
Canada,65.5,63.9,62.9,61.1
Chile,75,76,76,70.3
China,62,49,47.5,48.9
Colombia,75.5,76.5,77.5,78.5
Cyprus,,,,58
Czech Republic,,,41,42
Denmark,67,68,75,76
Egypt,,75,76,59.7
France,67,66.7,67.5,69.9
Germany,66.2,65.1,66.2,66.3
Greece,57,58,59,60
Iceland,,38,39,53
India,53.6,56.5,54.9,56.3
Indonesia,56,60.5,61.5,62.5
Ireland,63.5,62.3,61.5,62.5
Israel,56.8,62,63.5,62.9
Italy,66.5,67.2,64.4,66
Japan,66.3,65.5,64.4,64.8
Kazakhstan,,50.7,48.5,43.8
Kuwait,60,61,55.5,61.5
Lebanon,60,,23.5,38.5
Liechtenstein,57,58,,
Malaysia,72.6,73.5,73.8,72.6
Mexico,63,60.9,61.9,62.8
Monaco,,67,68,69
Netherlands,56,58.5,59.5,60.5
New Zealand,,,50,50
Norway,65,65.8,66.8,64.3
Oman,,,,58
Philippines,74,73.3,74.3,75.3
Poland,,51.5,49.7,50.4
Portugal,75,67,68,69
Romania,,,,67
Russia,44.9,44.4,45.5,46.1
Saudi Arabia,63,62.7,59.3,58.2
Serbia,,,,61
Singapore,75.8,74,75,67.5
South Africa,55.5,62.3,63.3,64.3
South Korea,71.5,70.7,69.3,52.7
Spain,61.9,64.8,65.8,62.1
Sweden,66.9,67.8,69,70
Switzerland,66,67,63.9,64.9
Thailand,64,66,67,68
Turkey,60.2,60.9,62.5,61.3
Ukraine,,44,45,44.2
United Arab Emirates,50,51,62.5,61.3
United Kingdom,59,59.7,58.4,59.6
United States,64.4,64.8,65.1,65.3
Venezuela,48,49,50,51
